fusion,entry_time,reason,session,expected_R
high_pf_conservative_fusion,1587412800000,FILTER_REJECTED,NEW_YORK,1.0631051429745693
high_pf_conservative_fusion,1587657600000,FILTER_REJECTED,NEW_YORK,1.0652241207203326
high_pf_conservative_fusion,1588161600000,FILTER_REJECTED,LONDON,1.0394271588374717
high_pf_conservative_fusion,1588237200000,FILTER_REJECTED,LONDON,0.9725720521505755
high_pf_conservative_fusion,1588784400000,FILTER_REJECTED,NEW_YORK,0.954495618612552
high_pf_conservative_fusion,1589072400000,FILTER_REJECTED,OFF_HOURS,1.3559337239957467
high_pf_conservative_fusion,1590364800000,FILTER_REJECTED,OFF_HOURS,1.0610435926040762
high_pf_conservative_fusion,1591056000000,FILTER_REJECTED,OFF_HOURS,1.3316071863922716
high_pf_conservative_fusion,1595782800000,FILTER_REJECTED,NEW_YORK,0.9413236408045137
high_pf_conservative_fusion,1595833200000,FILTER_REJECTED,OFF_HOURS,0.9497397640194994
high_pf_conservative_fusion,1595869200000,FILTER_REJECTED,NEW_YORK,1.0654481148230102
high_pf_conservative_fusion,1595894400000,FILTER_REJECTED,OFF_HOURS,0.9732366844663316
high_pf_conservative_fusion,1595952000000,FILTER_REJECTED,NEW_YORK,0.9709474028508005
high_pf_conservative_fusion,1596279600000,FILTER_REJECTED,LONDON,0.9517046427591533
high_pf_conservative_fusion,1596330000000,FILTER_REJECTED,OFF_HOURS,0.9525464552056124
high_pf_conservative_fusion,1598979600000,FILTER_REJECTED,NEW_YORK,0.9236808280737089
high_pf_conservative_fusion,1599177600000,FILTER_REJECTED,OFF_HOURS,1.3560487346955292
high_pf_conservative_fusion,1604617200000,FILTER_REJECTED,OFF_HOURS,1.340351441544487
high_pf_conservative_fusion,1605693600000,FILTER_REJECTED,LONDON,0.9719001807740226
high_pf_conservative_fusion,1605848400000,FILTER_REJECTED,OFF_HOURS,0.9632695984983359
high_pf_conservative_fusion,1605902400000,FILTER_REJECTED,NEW_YORK,0.9560284456297311
high_pf_conservative_fusion,1606129200000,FILTER_REJECTED,LONDON,0.9553544278452697
high_pf_conservative_fusion,1606212000000,FILTER_REJECTED,LONDON,0.9578728834685563
high_pf_conservative_fusion,1606363200000,FILTER_REJECTED,OFF_HOURS,1.353132271225918
high_pf_conservative_fusion,1606748400000,FILTER_REJECTED,NEW_YORK,1.0625029866794997
high_pf_conservative_fusion,1606784400000,FILTER_REJECTED,OFF_HOURS,0.9618666926988134
high_pf_conservative_fusion,1608156000000,FILTER_REJECTED,OFF_HOURS,0.9611598753711171
high_pf_conservative_fusion,1608228000000,FILTER_REJECTED,NEW_YORK,0.9780214021866303
high_pf_conservative_fusion,1609617600000,FILTER_REJECTED,NEW_YORK,0.9698149965171822
high_pf_conservative_fusion,1609639200000,FILTER_REJECTED,OFF_HOURS,0.9768231072701817
high_pf_conservative_fusion,1609671600000,FILTER_REJECTED,LONDON,0.9716622690129493
high_pf_conservative_fusion,1609804800000,FILTER_REJECTED,OFF_HOURS,1.4795818023866
high_pf_conservative_fusion,1609873200000,FILTER_REJECTED,NEW_YORK,1.0870512609532423
high_pf_conservative_fusion,1609912800000,FILTER_REJECTED,OFF_HOURS,0.9789841269255296
high_pf_conservative_fusion,1609977600000,FILTER_REJECTED,OFF_HOURS,1.0837955330236644
high_pf_conservative_fusion,1610031600000,FILTER_REJECTED,NEW_YORK,0.9748207984211608
high_pf_conservative_fusion,1610064000000,FILTER_REJECTED,OFF_HOURS,0.9800482893977933
high_pf_conservative_fusion,1610103600000,FILTER_REJECTED,LONDON,1.0952254236676429
high_pf_conservative_fusion,1610175600000,FILTER_REJECTED,OFF_HOURS,1.4763537691267752
high_pf_conservative_fusion,1610301600000,FILTER_REJECTED,NEW_YORK,1.0850415210226434
high_pf_conservative_fusion,1610337600000,FILTER_REJECTED,OFF_HOURS,1.365268280531478
high_pf_conservative_fusion,1610431200000,FILTER_REJECTED,OFF_HOURS,1.4859188615862975
high_pf_conservative_fusion,1610499600000,FILTER_REJECTED,OFF_HOURS,1.379552564146798
high_pf_conservative_fusion,1610564400000,FILTER_REJECTED,NEW_YORK,0.980902727312101
high_pf_conservative_fusion,1610578800000,FILTER_REJECTED,OFF_HOURS,1.0877500772203612
high_pf_conservative_fusion,1610640000000,FILTER_REJECTED,NEW_YORK,0.9746805597076661
high_pf_conservative_fusion,1610722800000,FILTER_REJECTED,NEW_YORK,1.0820592756382539
high_pf_conservative_fusion,1610870400000,FILTER_REJECTED,LONDON,1.0839672178876805
high_pf_conservative_fusion,1610974800000,FILTER_REJECTED,NEW_YORK,0.9732292792766514
high_pf_conservative_fusion,1611021600000,FILTER_REJECTED,OFF_HOURS,0.9662011430225236
high_pf_conservative_fusion,1611115200000,FILTER_REJECTED,OFF_HOURS,1.0803682963270451
high_pf_conservative_fusion,1611223200000,FILTER_REJECTED,LONDON,1.0837108988404736
high_pf_conservative_fusion,1611406800000,FILTER_REJECTED,NEW_YORK,1.0852844463951157
high_pf_conservative_fusion,1611547200000,FILTER_REJECTED,OFF_HOURS,1.0749367016734634
high_pf_conservative_fusion,1611583200000,FILTER_REJECTED,NEW_YORK,0.9687469469481333
high_pf_conservative_fusion,1611633600000,FILTER_REJECTED,OFF_HOURS,1.3566335733088768
high_pf_conservative_fusion,1611748800000,FILTER_REJECTED,LONDON,1.0803639981159012
high_pf_conservative_fusion,1611853200000,FILTER_REJECTED,NEW_YORK,1.0820767680865153
high_pf_conservative_fusion,1611910800000,FILTER_REJECTED,LONDON,1.1001416084730682
high_pf_conservative_fusion,1611921600000,FILTER_REJECTED,LONDON,0.9865584079232365
high_pf_conservative_fusion,1611975600000,FILTER_REJECTED,OFF_HOURS,1.4790389807360265
high_pf_conservative_fusion,1612314000000,FILTER_REJECTED,OFF_HOURS,0.9740808097010526
high_pf_conservative_fusion,1612389600000,FILTER_REJECTED,OFF_HOURS,0.960918299685686
high_pf_conservative_fusion,1614560400000,FILTER_REJECTED,OFF_HOURS,1.356892278062924
high_pf_conservative_fusion,1614790800000,FILTER_REJECTED,NEW_YORK,0.9670799189538489
high_pf_conservative_fusion,1615111200000,FILTER_REJECTED,LONDON,1.0624349905702948
high_pf_conservative_fusion,1615251600000,FILTER_REJECTED,OFF_HOURS,0.9601935340391073
high_pf_conservative_fusion,1615255200000,FILTER_REJECTED,OFF_HOURS,1.0684695226378638
high_pf_conservative_fusion,1615338000000,FILTER_REJECTED,OFF_HOURS,0.9574964515549498
high_pf_conservative_fusion,1615370400000,FILTER_REJECTED,LONDON,0.9635359647739905
