strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
P39_CAND_0551:BB Expansion Short,1632139200000,2021-09-20 12:00:00+00:00,1632182400000,2021-09-21 00:00:00+00:00,Short,3041.6,2896.901247491142,2895.4535207307767,3149.3710650738403,2895.4535207307767,0.832,120.38936208736983,2.470416518956315,1.231360000000015,1.204508664623834,2.4358686646238494,-0.5045780480000001,118.4235236164135,8958.161778319003,TP Hit,1.3426493689165657,12,False,False,False,False,2021-09-21 00:00:00,2021-09,2021,LONDON,False,P39_CAND_0551:BB Expansion Short,1.3560827219169584,5.410863231580165,0.05020701268817245,1.2957377547436741
P39_CAND_0551:BB Expansion Short,1632258000000,2021-09-21 21:00:00+00:00,1632290400000,2021-09-22 06:00:00+00:00,Short,2767.1,2907.1660172033203,2905.713160623009,2905.713160623009,2578.021721356932,0.653,-91.46310923376821,1.852647854616884,0.9142000000000594,0.9487153469431896,1.862915346943249,-0.180585191,-93.13517189738509,8865.026606421618,SL Hit,-1.0104813754608954,9,False,False,False,False,2021-09-22 06:00:00,2021-09,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,1.3640716205679069,3.896148392560133,0.028108069789683367,1.3210271032789584
P39_CAND_0551:BB Expansion Short,1632477600000,2021-09-24 10:00:00+00:00,1632517200000,2021-09-24 21:00:00+00:00,Short,2857.9,2962.2937723697073,2960.813365686864,2960.813365686864,2717.5447698793555,0.871,-90.92697573401499,2.5346943878670074,1.210689999999889,1.2894342207565102,2.5001242207563994,0.28086998511000005,-93.742540106992,8771.284066314625,SL Hit,-1.0143849797639284,11,False,False,False,False,2021-09-24 21:00:00,2021-09,2021,LONDON,False,P39_CAND_0551:BB Expansion Short,1.3638192588871847,5.315688593733407,0.05165207218960785,1.304517224226326
P39_CAND_0551:BB Expansion Long,1634212800000,2021-10-14 12:00:00+00:00,1634263200000,2021-10-15 02:00:00+00:00,Long,3742.5,3839.00069474603,3840.921155323692,3668.454768166942,3840.921155323692,1.215,117.24834411642664,4.605761672058214,2.24774999999989,2.3333596018590175,4.581109601858907,2.970421347366,109.67216109700243,8880.956227411627,TP Hit,1.3032668324086012,14,False,False,False,False,2021-10-15 02:00:00,2021-10,2021,LONDON,False,P39_CAND_0551:BB Expansion Long,1.329203149037221,12.15729262128312,0.16418738006915656,1.194069502889767
P39_CAND_0551:Funding Reversal Short,1634317200000,2021-10-15 17:00:00+00:00,1634374800000,2021-10-16 09:00:00+00:00,Short,3865.8,3955.1266688340465,3953.1500937871533,3953.1500937871533,3782.2699062128468,1.039,-92.81040891857415,4.062971404459287,1.9844899999998487,2.053661473722067,4.038151473721916,-1.8909769601976998,-94.98240336283574,8785.973824048791,SL Hit,-1.0226281960464698,16,False,False,False,False,2021-10-16 09:00:00,2021-10,2021,NEW_YORK,False,P39_CAND_0551:Funding Reversal Short,0.9562679347625208,9.992099838378902,0.11439140366267671,0.8461703373970957
P39_CAND_0551:BB Expansion Long,1634742000000,2021-10-20 15:00:00+00:00,1634770800000,2021-10-20 23:00:00+00:00,Long,4056.6,4162.158276745439,4164.240396943911,3975.6073142003843,4164.240396943911,1.113,117.48636201767398,4.5737389810088365,2.2482599999999797,2.317399780899096,4.565659780899075,1.0321776455109,111.88044539115424,8897.854269439946,TP Hit,1.3033062887505862,8,False,False,False,False,2021-10-20 23:00:00,2021-10,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.3290137977424865,10.171576407418813,0.1255863576691895,1.2161778968716963
P39_CAND_0551:Funding Reversal Short,1634806800000,2021-10-21 09:00:00+00:00,1634806800000,2021-10-21 09:00:00+00:00,Short,4197.9,4302.886217183439,4300.73584925881,4300.73584925881,4099.304150741191,0.883,-92.7028297729769,3.7530971148864882,1.863130000000514,1.8987748774473021,3.761904877447816,0.0,-96.45592688786338,8801.398342552082,SL Hit,-1.0209106837754311,0,False,False,False,False,2021-10-21 09:00:00,2021-10,2021,LONDON,True,P39_CAND_0551:Funding Reversal Short,0.9587692421411268,7.515001992334304,0.07307764798461525,0.8760085988969419
P39_CAND_0551:BB Expansion Long,1634814000000,2021-10-21 11:00:00+00:00,1634814000000,2021-10-21 11:00:00+00:00,Long,4315.6,4213.101483862608,4215.209088406811,4215.209088406811,4422.50101288132,0.896,-91.83867045910365,3.8208582647704485,1.9622400000004563,1.888413671606104,3.85065367160656,0.0,-95.6595287238741,8705.738813828208,SL Hit,-1.0209939775499182,0,False,False,False,False,2021-10-21 11:00:00,2021-10,2021,LONDON,True,P39_CAND_0551:BB Expansion Long,1.0648475164217173,7.671511936377009,0.07641639880175631,0.9795613570447571
P39_CAND_0551:ATR Expansion Short,1634839200000,2021-10-21 18:00:00+00:00,1635174000000,2021-10-25 15:00:00+00:00,Short,4047.6,4211.652876710366,4209.548102659037,4209.548102659037,3809.727846011445,0.068,-11.155595616304922,0.2808145978081525,0.13804000000001362,0.14312463549040697,0.2811646354904206,-1.0210381627932001,-10.415372051319872,8695.323441776884,SL Hit,-1.0129965959265412,93,False,False,False,False,2021-10-25 15:00:00,2021-10,2021,NEW_YORK,False,P39_CAND_0551:ATR Expansion Short,1.4688171709511622,1.5830173960917733,0.00977484373141829,1.3250694690185403
P39_CAND_0551:BB Expansion Short,1635328800000,2021-10-27 10:00:00+00:00,1635408000000,2021-10-28 08:00:00+00:00,Short,4018.0,4144.476987199948,4142.405784307794,4142.405784307794,3849.991966239174,0.71,-89.79866091196298,2.897679330455981,1.412899999999845,1.4705540534289503,2.883454053428795,-2.322879825247,-90.37346041717196,8604.94998135971,SL Hit,-1.0166487668051596,22,False,False,False,False,2021-10-28 08:00:00,2021-10,2021,LONDON,False,P39_CAND_0551:BB Expansion Short,1.3504841008449782,8.104013209131775,0.06514177177711851,1.2587351265110085
P39_CAND_0551:BB Expansion Long,1635418800000,2021-10-28 11:00:00+00:00,1635451200000,2021-10-28 20:00:00+00:00,Long,4152.3,4295.335733113667,4297.484475351343,4044.2239777470327,4297.484475351343,0.812,116.14501528829723,3.4297401076441494,1.672720000000325,1.7447786969927765,3.4174986969931016,0.33731129600000004,112.37796388465308,8717.327945244364,TP Hit,1.3234733304568778,9,False,False,False,False,2021-10-28 20:00:00,2021-10,2021,LONDON,False,P39_CAND_0551:BB Expansion Long,1.3433550969475652,7.184550100637251,0.06647681836236327,1.2614870940382508
P39_CAND_0551:Funding Reversal Short,1635501600000,2021-10-29 10:00:00+00:00,1635519600000,2021-10-29 15:00:00+00:00,Short,4331.2,4449.293014789943,4447.069480049919,4447.069480049919,4219.570519950081,0.766,-90.4592493290967,3.3629288246645483,1.6315800000000837,1.7032276108588904,3.334807610858974,0.0,-93.82217815376126,8623.505767090603,SL Hit,-1.0191899949759566,5,False,False,False,False,2021-10-29 15:00:00,2021-10,2021,LONDON,False,P39_CAND_0551:Funding Reversal Short,0.9634071025590768,6.697736435523522,0.05780414680930653,0.8879447699098516
P39_CAND_0551:Funding Reversal Short,1635541200000,2021-10-29 21:00:00+00:00,1635580800000,2021-10-30 08:00:00+00:00,Short,4400.5,4290.197495626689,4288.053468892243,4517.446531107757,4288.053468892243,0.376,41.47374164436509,1.6338511291778175,0.846,0.8061540521517018,1.6521540521517017,-0.4318106846344,40.27170119982167,8663.777468290426,TP Hit,0.9431874834463961,11,False,False,False,False,2021-10-30 08:00:00,2021-10,2021,NEW_YORK,False,P39_CAND_0551:Funding Reversal Short,0.9615208766145138,3.717815865963919,0.031790732317987534,0.8769710566198661
