group,bucket,trades,net_pnl,winners,losers,avg_R,avg_hold,avg_cost_to_risk,avg_projected_net_R
month,2022-06,13,287.05,7,6,0.17121195645705523,17.0,0.020360611915299073,1.190672265126947
month,2022-07,8,168.58,4,4,0.1655999923421326,13.0,0.02348493032415791,1.3068874548769092
month,2022-08,5,236.24,3,2,0.4606384515465006,21.0,0.04102819349712823,1.3321249997086348
month,2022-09,8,161.11,4,4,0.1607567984176238,32.25,0.03632245610253854,1.2428384400308399
month,2022-10,3,324.17,2,1,0.6726758438844375,10.333333333333334,0.07335350258230854,1.3437913794408172
month,2022-11,5,325.45,3,2,0.38286123416815593,21.2,0.03706521488385876,1.2566718948567477
month,2022-12,2,567.16,2,0,1.5092817490319492,113.5,0.12881238362523176,1.364458966876726
month,2023-01,6,139.31,3,3,0.19334636898121405,10.833333333333334,0.046377441958291195,1.2057498670375992
month,2023-02,4,91.84,2,2,0.1847866662541075,8.0,0.12413716241725772,1.3331872863909284
month,2023-03,11,329.89,6,5,0.20074969307695809,20.09090909090909,0.03468480897644394,1.1644903830561775
month,2023-04,5,355.19,3,2,0.4128972118281789,10.6,0.04014544679188658,1.2881126146942108
month,2023-05,2,594.41,2,0,1.5084929401967884,17.0,0.06543447946071786,1.4059817805703758
month,2023-06,6,89.75,3,3,0.14599622461121264,8.166666666666666,0.06002439114522306,1.2245743794412212
month,2023-08,5,934.11,4,1,0.8974248705599429,40.8,0.09809921710268701,1.2286678228642447
month,2023-09,1,288.58,1,0,1.3811019823519264,10.0,0.08086127716290896,1.2754385753665292
month,2023-10,2,44.67,1,1,0.15633401782305778,33.0,0.0278807790424948,1.3102991667359682
month,2023-11,3,-188.59,1,2,-0.21533452706082543,7.333333333333333,0.037100927838794026,1.2449378409516543
month,2023-12,8,-175.38,4,4,-0.03016222779605801,13.875,0.06401497561579736,0.9491464318980788
