family,behavior_cluster,candidates,avg_pnl,max_pf
same_candle_hardened,4804d09f54fa8c02,1,2275.8,1.3756
same_candle_hardened,4e7df60ffd27a3f1,1,64.54,1.0275
same_candle_hardened,4eb98fda87b259ea,1,33.67,1.0227
same_candle_hardened,619e761c52d7727b,1,374.2,1.2355
same_candle_hardened,84c6c909d3a7fb19,1,-432.41,0.8474
same_candle_hardened,84e86bc6b13ec7ba,1,-23.06,0.993
same_candle_hardened,86af2e56196c7f1b,1,0.0,0.0
same_candle_hardened,8afc3ee89c2437a8,1,221.52,1.079
same_candle_hardened,ab24dfb788148a59,1,-59.88,0.9681
same_candle_hardened,d0157062d43bb295,1,3132.08,1.1481
same_candle_hardened,d749a818a9d37d08,1,-170.21,0.9405
same_candle_hardened,dbfe4c506c12e99a,1,4365.75,1.3098
same_candle_hardened,def8cc80a4834e3d,1,-15.04,0.962
same_candle_hardened,df76d545a2569476,1,2577.34,1.1673
same_candle_hardened,e0bdc03b3c8d66cb,1,5499.22,1.4603
same_candle_hardened,e517b44b27e29e26,1,6.88,1.0042
same_candle_hardened,ec7b09b346334878,1,2279.88,1.3198
same_candle_hardened,f00cab02d9a8c1ac,1,75.43,1.0874
same_candle_hardened,f1cca08dbfc70b3e,1,-157.99,0.9382
same_candle_hardened,f311fd17a5e5d792,1,5886.61,1.3281
same_candle_hardened,f8314ba5c66b2292,1,-922.93,0.4937
same_candle_hardened,ff9b5ff694f77644,1,3060.93,1.2941
session_aware,1ca5a352bc27d052,1,0.0,0.0
session_aware,22a8895ecdc8890d,1,7530.75,1.4977
session_aware,2f50b26404095396,1,8873.9,1.2886
session_aware,3fd51ed67b934dd7,1,0.0,0.0
session_aware,4a4257098bd3e433,1,2047.13,1.276
session_aware,528c950b55cd07e0,1,274.3,3.5719
session_aware,53a79c1abeca3f50,1,5880.04,1.3324
session_aware,5e82ecbf1845408c,1,914.38,1.0708
session_aware,64e7640c2bbf5b8b,1,-481.88,0.8315
session_aware,6c15d59dc25c8284,1,0.0,0.0
session_aware,7891e18ebfa448fa,1,-394.28,0.7921
session_aware,7db86a8023988924,1,-481.88,0.8315
session_aware,811fab1069d3ccd0,1,-170.21,0.9405
session_aware,824e7e993d90f99a,1,-628.33,0.7292
session_aware,89dc4933fd7eb3be,1,0.0,0.0
session_aware,a05bb4eb4db0a12e,1,591.14,1.3249
