trade_id,source_system,original_pf12,added_pf70,added_pf80,retained_pf70,removed_pf70,modified_exit,modified_risk,sleeve,pnl
PF8_T_248,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-114.86032300555948
PF8_T_249,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,259.3129470390995
PF8_T_250,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-102.38007934518727
PF8_T_251,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,111.99078493693008
PF8_T_252,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,283.74609426185145
PF8_T_253,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,217.8918601037873
PF8_T_254,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,226.39937484894068
PF8_T_255,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,85.36362959371944
PF8_T_256,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,177.38463639111197
PF8_T_257,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,82.00816390263091
PF8_T_258,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,169.42895909015692
PF8_T_259,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,128.57862584921315
PF8_T_260,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,215.52847145044544
PF8_T_261,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,172.56282330220796
PF8_T_262,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,176.4300102352687
PF8_T_263,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,114.21613730652972
PF8_T_264,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,154.96519203904919
PF8_T_265,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,113.3464158106744
PF8_T_266,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,223.1195473211517
PF8_T_267,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,239.7180816816086
PF8_T_268,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-181.91703296930692
PF8_T_269,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,236.80271722317622
PF8_T_270,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,111.23146339771151
PF8_T_271,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,223.19433799531689
PF8_T_272,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,216.9818879253288
PF8_T_273,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,232.06804254995834
PF8_T_274,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-179.43959451477647
PF8_T_275,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,209.50695242761995
PF8_T_276,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,156.04518799950418
PF8_T_277,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-174.3387293701992
